problem,score,best_score
1,804,624
2,291,193
3,333,186
4,7,0
5,368,45
6,7073,2663
7,257,108
8,1040,1040
9,6321,779
10,862,16
11,0,0
12,0,0
13,0,0
14,116,116
15,0,0
16,0,0
17,0,0
18,0,0
19,5318,5318
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,2423,2423
28,3216,3216
29,3114,3114
30,1837,1837
31,10457,10457
32,1894,1894
33,2362,2362
34,0,0
35,0,0
36,1444,1444
37,1683,1683
38,44,0
39,0,0
40,3768,3768
41,93,0
42,1798,1655
43,0,0
44,8706,8706
45,6411,6379
46,708,0
47,0,0
48,3617,3617
49,0,0
50,3737,3299
51,0,0
52,961,0
53,1983,0
54,0,0
55,843,0
56,3681,3021
57,6871,4514
58,5040,2171
59,2537,0
60,2243,240
61,24827,12587
62,125269,4181
63,3933,0
64,627415,0
65,336768,0
66,13865,7585
67,201,0
68,1863309,0
69,2495,738
70,646,0
71,126894,5230
72,0,0
73,3,0
74,151716,2383
75,987913,0
76,133768,0
77,0,0
78,69482,187
79,67127,21311
80,123502,0
81,216,0
82,18146,1481
83,12377,5251
84,1235,0
85,,42
86,6057,5360
87,53279,6110
88,12694,9908
